publication_citation,publication_authors,publication_year,publication_title,publication_publisher,publication_doi,publication_with_reported_data,locality,country_continent,habitat_description,habitat_type,category,group,macrophyte_identification,dm_gm2,log_dm_gm2,dm_gm2_value,dm_gm2_conversion,dm_gm2_location,tp_stock_gm2,log_tp_stock_gm2,tp_stock_gm2_value,tp_stock_gm2_conversion,tp_stock_gm2_location,tn_stock_gm2,log_tn_stock_gm2,tn_stock_gm2_value,tn_stock_gm2_conversion,tn_stock_gm2_location
"Kellogg and Bridgham, 2003","Kellogg, L. E., & Bridgham, S. D.",2003,Phosphorus retention and movement across an ombrotrophic-minerotrophic peatland gradient,Biogeochemistry,https://doi.org/10.1023/A:1023387019765,NA,Michigan,United States of America,Ottawa National Forest peatland,bog,wetland,wetland,aboveground macrophyte community,563,2.751,mean,none,table 2,0.5,-0.298,mean,none,table 2,-9999,-9999,NA,NA,NA
"Kellogg and Bridgham, 2003","Kellogg, L. E., & Bridgham, S. D.",2003,Phosphorus retention and movement across an ombrotrophic-minerotrophic peatland gradient,Biogeochemistry,https://doi.org/10.1023/A:1023387019765,NA,Michigan,United States of America,Ottawa National Forest intermediate fen ,fen,wetland,wetland,aboveground macrophyte community,775,2.889,mean,none,table 2,0.91,-0.043,mean,none,table 2,-9999,-9999,NA,NA,NA
"Kellogg and Bridgham, 2003","Kellogg, L. E., & Bridgham, S. D.",2003,Phosphorus retention and movement across an ombrotrophic-minerotrophic peatland gradient,Biogeochemistry,https://doi.org/10.1023/A:1023387019765,NA,Michigan,United States of America,Ottawa National Forest rich fen ,fen,wetland,wetland,aboveground macrophyte community,820,2.914,mean,none,table 2,1,0.001,mean,none,table 2,-9999,-9999,NA,NA,NA
"Kelly and Hawes, 2005","Kelly, D. J., & Hawes, I.",2005,Effects of invasive macrophytes on littoral-zone productivity and foodweb dynamics in a New Zealand high-country lake,Journal of the North American Benthological Society,https://doi.org/10.1899/03-097.1,NA,NA,New Zealand,Lake Wanaka oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,total macrophyte community,63,1.799,mean,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kelly and Hawes, 2005","Kelly, D. J., & Hawes, I.",2005,Effects of invasive macrophytes on littoral-zone productivity and foodweb dynamics in a New Zealand high-country lake,Journal of the North American Benthological Society,https://doi.org/10.1899/03-097.1,NA,NA,New Zealand,Lake Wanaka oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,total macrophyte community,69,1.839,mean,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kelly and Hawes, 2005","Kelly, D. J., & Hawes, I.",2005,Effects of invasive macrophytes on littoral-zone productivity and foodweb dynamics in a New Zealand high-country lake,Journal of the North American Benthological Society,https://doi.org/10.1899/03-097.1,NA,NA,New Zealand,Lake Wanaka oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,total macrophyte community,73,1.863,mean,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kelly and Hawes, 2005","Kelly, D. J., & Hawes, I.",2005,Effects of invasive macrophytes on littoral-zone productivity and foodweb dynamics in a New Zealand high-country lake,Journal of the North American Benthological Society,https://doi.org/10.1899/03-097.1,NA,NA,New Zealand,Lake Wanaka oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,total macrophyte community,111,2.045,mean,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kelly and Hawes, 2005","Kelly, D. J., & Hawes, I.",2005,Effects of invasive macrophytes on littoral-zone productivity and foodweb dynamics in a New Zealand high-country lake,Journal of the North American Benthological Society,https://doi.org/10.1899/03-097.1,NA,NA,New Zealand,Lake Wanaka oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,total macrophyte community,236,2.373,mean,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kelly and Hawes, 2005","Kelly, D. J., & Hawes, I.",2005,Effects of invasive macrophytes on littoral-zone productivity and foodweb dynamics in a New Zealand high-country lake,Journal of the North American Benthological Society,https://doi.org/10.1899/03-097.1,NA,NA,New Zealand,Lake Wanaka oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,total macrophyte community,537,2.73,mean,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kleeberg and Heidenreich, 2004","Kleeberg, A., & Heidenreich, M.",2004,Release of nitrogen and phosphorus from macrophyte stands of summer dried out sediments of a eutrophic reservoir,Archiv fur Hydrobiologie,https://doi.org/10.1127/0003-9136/2004/0159-0115,NA,Lusatia,Germany,Spremberg Reservoir eutrophic littoral zone,shallow_reservoir,shallow_lake_and_pond,other_fw_benthic_system,aboveground Polygonum amphibium,420,2.623,maximum,none,abstract text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kleeberg and Heidenreich, 2004","Kleeberg, A., & Heidenreich, M.",2004,Release of nitrogen and phosphorus from macrophyte stands of summer dried out sediments of a eutrophic reservoir,Archiv fur Hydrobiologie,https://doi.org/10.1127/0003-9136/2004/0159-0115,NA,Lusatia,Germany,Spremberg Reservoir eutrophic littoral zone,shallow_reservoir,shallow_lake_and_pond,other_fw_benthic_system,aboveground Polygonum amphibium,34,1.531,minimum,none,abstract text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kleeberg and Heidenreich, 2004","Kleeberg, A., & Heidenreich, M.",2004,Release of nitrogen and phosphorus from macrophyte stands of summer dried out sediments of a eutrophic reservoir,Archiv fur Hydrobiologie,https://doi.org/10.1127/0003-9136/2004/0159-0115,NA,Lusatia,Germany,Spremberg Reservoir eutrophic littoral zone,shallow_reservoir,shallow_lake_and_pond,other_fw_benthic_system,aboveground Gnaphalium uliginosum,76,1.881,minimum,none,abstract text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kleeberg and Heidenreich, 2004","Kleeberg, A., & Heidenreich, M.",2004,Release of nitrogen and phosphorus from macrophyte stands of summer dried out sediments of a eutrophic reservoir,Archiv fur Hydrobiologie,https://doi.org/10.1127/0003-9136/2004/0159-0115,NA,Lusatia,Germany,Spremberg Reservoir eutrophic littoral zone,shallow_reservoir,shallow_lake_and_pond,other_fw_benthic_system,aboveground Gnaphalium uliginosum,120,2.079,maximum,none,abstract text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kovalenko et al., 2013","Kovalenko, K. E., Ciborowski, J. J., Daly, C., Dixon, D. G., Farwell, A. J., Foote, A. L., Frederick, K. R., Gardner Costa, J. M., Kennedy, K., Liber, K., Roy, M. C., Slama, C. A., & Smits, J. E. G.",2013,Food web structure in oil sands reclaimed wetlands,Ecological Applications,https://doi.org/10.1890/12-1279.1,NA,Alberta,Canada,oil sands boreal marsh,marsh,wetland,wetland,submerged macrophyte community,1.7,0.23,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kovalenko et al., 2013","Kovalenko, K. E., Ciborowski, J. J., Daly, C., Dixon, D. G., Farwell, A. J., Foote, A. L., Frederick, K. R., Gardner Costa, J. M., Kennedy, K., Liber, K., Roy, M. C., Slama, C. A., & Smits, J. E. G.",2013,Food web structure in oil sands reclaimed wetlands,Ecological Applications,https://doi.org/10.1890/12-1279.1,NA,Alberta,Canada,oil sands boreal marsh,marsh,wetland,wetland,submerged macrophyte community,1.9,0.279,mean,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kovalenko et al., 2013","Kovalenko, K. E., Ciborowski, J. J., Daly, C., Dixon, D. G., Farwell, A. J., Foote, A. L., Frederick, K. R., Gardner Costa, J. M., Kennedy, K., Liber, K., Roy, M. C., Slama, C. A., & Smits, J. E. G.",2013,Food web structure in oil sands reclaimed wetlands,Ecological Applications,https://doi.org/10.1890/12-1279.1,NA,Alberta,Canada,oil sands boreal marsh,marsh,wetland,wetland,submerged macrophyte community,11.5,1.061,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kovalenko et al., 2013","Kovalenko, K. E., Ciborowski, J. J., Daly, C., Dixon, D. G., Farwell, A. J., Foote, A. L., Frederick, K. R., Gardner Costa, J. M., Kennedy, K., Liber, K., Roy, M. C., Slama, C. A., & Smits, J. E. G.",2013,Food web structure in oil sands reclaimed wetlands,Ecological Applications,https://doi.org/10.1890/12-1279.1,NA,Alberta,Canada,oil sands boreal marsh,marsh,wetland,wetland,submerged macrophyte community,13.4,1.127,mean,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kovalenko et al., 2013","Kovalenko, K. E., Ciborowski, J. J., Daly, C., Dixon, D. G., Farwell, A. J., Foote, A. L., Frederick, K. R., Gardner Costa, J. M., Kennedy, K., Liber, K., Roy, M. C., Slama, C. A., & Smits, J. E. G.",2013,Food web structure in oil sands reclaimed wetlands,Ecological Applications,https://doi.org/10.1890/12-1279.1,NA,Alberta,Canada,boreal marsh,marsh,wetland,wetland,submerged macrophyte community,34.2,1.534,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kovalenko et al., 2013","Kovalenko, K. E., Ciborowski, J. J., Daly, C., Dixon, D. G., Farwell, A. J., Foote, A. L., Frederick, K. R., Gardner Costa, J. M., Kennedy, K., Liber, K., Roy, M. C., Slama, C. A., & Smits, J. E. G.",2013,Food web structure in oil sands reclaimed wetlands,Ecological Applications,https://doi.org/10.1890/12-1279.1,NA,Alberta,Canada,boreal marsh,marsh,wetland,wetland,submerged macrophyte community,48.1,1.682,mean,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kovalenko et al., 2013","Kovalenko, K. E., Ciborowski, J. J., Daly, C., Dixon, D. G., Farwell, A. J., Foote, A. L., Frederick, K. R., Gardner Costa, J. M., Kennedy, K., Liber, K., Roy, M. C., Slama, C. A., & Smits, J. E. G.",2013,Food web structure in oil sands reclaimed wetlands,Ecological Applications,https://doi.org/10.1890/12-1279.1,NA,Alberta,Canada,boreal marsh,marsh,wetland,wetland,submerged macrophyte community,48.9,1.689,mean,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kovalenko et al., 2013","Kovalenko, K. E., Ciborowski, J. J., Daly, C., Dixon, D. G., Farwell, A. J., Foote, A. L., Frederick, K. R., Gardner Costa, J. M., Kennedy, K., Liber, K., Roy, M. C., Slama, C. A., & Smits, J. E. G.",2013,Food web structure in oil sands reclaimed wetlands,Ecological Applications,https://doi.org/10.1890/12-1279.1,NA,Alberta,Canada,boreal marsh,marsh,wetland,wetland,submerged macrophyte community,52,1.716,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kovalenko et al., 2013","Kovalenko, K. E., Ciborowski, J. J., Daly, C., Dixon, D. G., Farwell, A. J., Foote, A. L., Frederick, K. R., Gardner Costa, J. M., Kennedy, K., Liber, K., Roy, M. C., Slama, C. A., & Smits, J. E. G.",2013,Food web structure in oil sands reclaimed wetlands,Ecological Applications,https://doi.org/10.1890/12-1279.1,NA,Alberta,Canada,oil sands boreal marsh,marsh,wetland,wetland,emergent macrophyte community,103.9,2.017,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kovalenko et al., 2013","Kovalenko, K. E., Ciborowski, J. J., Daly, C., Dixon, D. G., Farwell, A. J., Foote, A. L., Frederick, K. R., Gardner Costa, J. M., Kennedy, K., Liber, K., Roy, M. C., Slama, C. A., & Smits, J. E. G.",2013,Food web structure in oil sands reclaimed wetlands,Ecological Applications,https://doi.org/10.1890/12-1279.1,NA,Alberta,Canada,oil sands boreal marsh,marsh,wetland,wetland,emergent macrophyte community,167.3,2.223,mean,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kovalenko et al., 2013","Kovalenko, K. E., Ciborowski, J. J., Daly, C., Dixon, D. G., Farwell, A. J., Foote, A. L., Frederick, K. R., Gardner Costa, J. M., Kennedy, K., Liber, K., Roy, M. C., Slama, C. A., & Smits, J. E. G.",2013,Food web structure in oil sands reclaimed wetlands,Ecological Applications,https://doi.org/10.1890/12-1279.1,NA,Alberta,Canada,oil sands boreal marsh,marsh,wetland,wetland,emergent macrophyte community,183.8,2.264,mean,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kovalenko et al., 2013","Kovalenko, K. E., Ciborowski, J. J., Daly, C., Dixon, D. G., Farwell, A. J., Foote, A. L., Frederick, K. R., Gardner Costa, J. M., Kennedy, K., Liber, K., Roy, M. C., Slama, C. A., & Smits, J. E. G.",2013,Food web structure in oil sands reclaimed wetlands,Ecological Applications,https://doi.org/10.1890/12-1279.1,NA,Alberta,Canada,oil sands boreal marsh,marsh,wetland,wetland,emergent macrophyte community,189.6,2.278,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kovalenko et al., 2013","Kovalenko, K. E., Ciborowski, J. J., Daly, C., Dixon, D. G., Farwell, A. J., Foote, A. L., Frederick, K. R., Gardner Costa, J. M., Kennedy, K., Liber, K., Roy, M. C., Slama, C. A., & Smits, J. E. G.",2013,Food web structure in oil sands reclaimed wetlands,Ecological Applications,https://doi.org/10.1890/12-1279.1,NA,Alberta,Canada,boreal marsh,marsh,wetland,wetland,emergent macrophyte community,230.8,2.363,mean,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kovalenko et al., 2013","Kovalenko, K. E., Ciborowski, J. J., Daly, C., Dixon, D. G., Farwell, A. J., Foote, A. L., Frederick, K. R., Gardner Costa, J. M., Kennedy, K., Liber, K., Roy, M. C., Slama, C. A., & Smits, J. E. G.",2013,Food web structure in oil sands reclaimed wetlands,Ecological Applications,https://doi.org/10.1890/12-1279.1,NA,Alberta,Canada,boreal marsh,marsh,wetland,wetland,emergent macrophyte community,239,2.378,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kovalenko et al., 2013","Kovalenko, K. E., Ciborowski, J. J., Daly, C., Dixon, D. G., Farwell, A. J., Foote, A. L., Frederick, K. R., Gardner Costa, J. M., Kennedy, K., Liber, K., Roy, M. C., Slama, C. A., & Smits, J. E. G.",2013,Food web structure in oil sands reclaimed wetlands,Ecological Applications,https://doi.org/10.1890/12-1279.1,NA,Alberta,Canada,boreal marsh,marsh,wetland,wetland,emergent macrophyte community,270.2,2.432,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kovalenko et al., 2013","Kovalenko, K. E., Ciborowski, J. J., Daly, C., Dixon, D. G., Farwell, A. J., Foote, A. L., Frederick, K. R., Gardner Costa, J. M., Kennedy, K., Liber, K., Roy, M. C., Slama, C. A., & Smits, J. E. G.",2013,Food web structure in oil sands reclaimed wetlands,Ecological Applications,https://doi.org/10.1890/12-1279.1,NA,Alberta,Canada,boreal marsh,marsh,wetland,wetland,emergent macrophyte community,303,2.481,mean,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Krebs et al., 1999","Krebs, L., Corbonnois, J., & Muller, S.",1999,The impact of hydrological fluctuations on shallow groundwater hydrochemistry under two alluvial meadows,Hydrobiologia,https://doi.org/10.1023/A:1003886031746,NA,NA,France,flooding alluvial grassland,fen,wetland,wetland,aboveground Filipendula ulmaria-dominated community,460,2.663,mean,t/ha to g/m2,table 3,0.47,-0.328,mean,kg/ha to g/m2,table 4,4.91,0.691,mean,kg/ha to g/m2,table 4
"Krebs et al., 1999","Krebs, L., Corbonnois, J., & Muller, S.",1999,The impact of hydrological fluctuations on shallow groundwater hydrochemistry under two alluvial meadows,Hydrobiologia,https://doi.org/10.1023/A:1003886031746,NA,NA,France,flooding alluvial grassland,fen,wetland,wetland,aboveground Myosotetosum palustris-dominated community,420,2.623,mean,t/ha to g/m2,table 3,0.67,-0.174,mean,kg/ha to g/m2,table 4,6.72,0.827,mean,kg/ha to g/m2,table 4
"Kropfelova et al., 2008","Kropfelova, L., Vymazal, J., Svehla, J., & Stichova, J.",2008,Trace elements in Phalaris arundinacea in a constructed wetland receiving municipal sewage: a multiple harvest experiment,11th International Conferance on Wetland Systems for Water Pollution Control,NA,"Okada and Vymazal, 2023",NA,Czech Republic,sewage treatment constructed wetland,constructed_treatment_wetland,wetland,wetland,Phragmites australis,-9999,-9999,NA,NA,NA,4.49,0.652,mean,none,table 4,47.6,1.678,mean,none,table 5
"Kufel et al., 2020","Kufel, L., Strza?ek, M., Biardzka, E., & Becher, M.",2020,Carbon and nutrients transfer from primary producers to lake sediments? A stoichiometric approach,Limnologica,https://doi.org/10.1016/j.limno.2020.125794,NA,NA,Poland,Kuc Lake mesotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,total Potamogeton lucens-dominated community,66.88,1.825,mean,none,table 4,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kufel et al., 2020","Kufel, L., Strza?ek, M., Biardzka, E., & Becher, M.",2020,Carbon and nutrients transfer from primary producers to lake sediments? A stoichiometric approach,Limnologica,https://doi.org/10.1016/j.limno.2020.125794,NA,NA,Poland,Inulec Lake eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,total Potamogeton lucens-dominated community,112.5,2.051,mean,none,table 4,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kufel et al., 2020","Kufel, L., Strza?ek, M., Biardzka, E., & Becher, M.",2020,Carbon and nutrients transfer from primary producers to lake sediments? A stoichiometric approach,Limnologica,https://doi.org/10.1016/j.limno.2020.125794,NA,NA,Poland,Inulec Lake eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,total Chara tormentosa-dominated community,194.09,2.288,mean,none,table 4,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kufel et al., 2020","Kufel, L., Strza?ek, M., Biardzka, E., & Becher, M.",2020,Carbon and nutrients transfer from primary producers to lake sediments? A stoichiometric approach,Limnologica,https://doi.org/10.1016/j.limno.2020.125794,NA,NA,Poland,Kuc Lake mesotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,"total Potamogeton lucens, Myriophyllum spicatum, and Elodea canadensis community",225.84,2.354,mean,none,table 4,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kufel et al., 2020","Kufel, L., Strza?ek, M., Biardzka, E., & Becher, M.",2020,Carbon and nutrients transfer from primary producers to lake sediments? A stoichiometric approach,Limnologica,https://doi.org/10.1016/j.limno.2020.125794,NA,NA,Poland,Inulec Lake eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,total Chara tomentosa and Nitellopsis obtusa-dominated community,250.95,2.4,mean,none,table 4,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kufel et al., 2020","Kufel, L., Strza?ek, M., Biardzka, E., & Becher, M.",2020,Carbon and nutrients transfer from primary producers to lake sediments? A stoichiometric approach,Limnologica,https://doi.org/10.1016/j.limno.2020.125794,NA,NA,Poland,Kolowin Lake mesotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,total Nitellopsis obtusa and Chara tomentosa-dominated community,621.87,2.794,mean,none,table 4,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kufel et al., 2020","Kufel, L., Strza?ek, M., Biardzka, E., & Becher, M.",2020,Carbon and nutrients transfer from primary producers to lake sediments? A stoichiometric approach,Limnologica,https://doi.org/10.1016/j.limno.2020.125794,NA,NA,Poland,Kolowin Lake mesotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,total Chara tormentosa-dominated community,1481.37,3.171,mean,none,table 4,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kufel et al., 2020","Kufel, L., Strza?ek, M., Biardzka, E., & Becher, M.",2020,Carbon and nutrients transfer from primary producers to lake sediments? A stoichiometric approach,Limnologica,https://doi.org/10.1016/j.limno.2020.125794,NA,NA,Poland,Kolowin Lake mesotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,total Chara tormentosa-dominated community,1591.59,3.202,mean,none,table 4,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kull et al., 2008","Kull, A., Jaagus, J., Kuusemets, V., & Mander, U.",2008,The effects of fluctuating climatic conditions and weather events on nutrient dynamics in a narrow mosaic riparian peatland,Boral Environment Research,NA,NA,NA,Estonia,Tartu River subcatchment riparian peatland,fen,wetland,wetland,aboveground Geranium sp. and Poaceae-dominated community,538,2.731,mean,none,table 2,1.44,0.158,mean,none,table 2,8.5,0.929,mean,none,table 2
"Kull et al., 2008","Kull, A., Jaagus, J., Kuusemets, V., & Mander, U.",2008,The effects of fluctuating climatic conditions and weather events on nutrient dynamics in a narrow mosaic riparian peatland,Boral Environment Research,NA,NA,NA,Estonia,Tartu River subcatchment riparian peatland,fen,wetland,wetland,aboveground sedge fen community,601,2.779,mean,none,table 2,0.64,-0.194,mean,none,table 2,8.9,0.949,mean,none,table 2
"Kull et al., 2008","Kull, A., Jaagus, J., Kuusemets, V., & Mander, U.",2008,The effects of fluctuating climatic conditions and weather events on nutrient dynamics in a narrow mosaic riparian peatland,Boral Environment Research,NA,NA,NA,Estonia,Tartu River subcatchment riparian peatland,fen,wetland,wetland,aboveground Aegopodium podagraria-dominated community,957,2.981,mean,none,table 2,1.59,0.201,mean,none,table 2,9.5,0.978,mean,none,table 2
"Kull et al., 2008","Kull, A., Jaagus, J., Kuusemets, V., & Mander, U.",2008,The effects of fluctuating climatic conditions and weather events on nutrient dynamics in a narrow mosaic riparian peatland,Boral Environment Research,NA,NA,NA,Estonia,Tartu River subcatchment riparian peatland,fen,wetland,wetland,aboveground Cirsium oleraceum and Geranium spp.-dominated community,621,2.793,mean,none,table 2,1.25,0.097,mean,none,table 2,10.9,1.037,mean,none,table 2
"Kull et al., 2008","Kull, A., Jaagus, J., Kuusemets, V., & Mander, U.",2008,The effects of fluctuating climatic conditions and weather events on nutrient dynamics in a narrow mosaic riparian peatland,Boral Environment Research,NA,NA,NA,Estonia,Tartu River subcatchment riparian peatland,fen,wetland,wetland,aboveground Poaceae and Vicia cracca-dominated community,801,2.904,mean,none,table 2,1.98,0.297,mean,none,table 2,13.6,1.134,mean,none,table 2
"Kull et al., 2008","Kull, A., Jaagus, J., Kuusemets, V., & Mander, U.",2008,The effects of fluctuating climatic conditions and weather events on nutrient dynamics in a narrow mosaic riparian peatland,Boral Environment Research,NA,NA,NA,Estonia,Tartu River subcatchment riparian peatland,fen,wetland,wetland,aboveground sedge community,824,2.916,mean,none,table 2,3.08,0.489,mean,none,table 2,14.5,1.161,mean,none,table 2
"Kull et al., 2008","Kull, A., Jaagus, J., Kuusemets, V., & Mander, U.",2008,The effects of fluctuating climatic conditions and weather events on nutrient dynamics in a narrow mosaic riparian peatland,Boral Environment Research,NA,NA,NA,Estonia,Tartu River subcatchment riparian peatland,fen,wetland,wetland,aboveground Cirsium oleraceum-dominated community,661,2.82,mean,none,table 2,2.08,0.318,mean,none,table 2,15.3,1.185,mean,none,table 2
"Kull et al., 2008","Kull, A., Jaagus, J., Kuusemets, V., & Mander, U.",2008,The effects of fluctuating climatic conditions and weather events on nutrient dynamics in a narrow mosaic riparian peatland,Boral Environment Research,NA,NA,NA,Estonia,Tartu River subcatchment riparian peatland,fen,wetland,wetland,aboveground Filipendula ulmaria-dominated community,1021,3.009,mean,none,table 2,2.06,0.314,mean,none,table 2,15.4,1.188,mean,none,table 2
"Kull et al., 2008","Kull, A., Jaagus, J., Kuusemets, V., & Mander, U.",2008,The effects of fluctuating climatic conditions and weather events on nutrient dynamics in a narrow mosaic riparian peatland,Boral Environment Research,NA,NA,NA,Estonia,Tartu River subcatchment riparian peatland,fen,wetland,wetland,aboveground Elytrigia repens-dominated community,808,2.907,mean,none,table 2,1.34,0.127,mean,none,table 2,19.5,1.29,mean,none,table 2
"Kull et al., 2008","Kull, A., Jaagus, J., Kuusemets, V., & Mander, U.",2008,The effects of fluctuating climatic conditions and weather events on nutrient dynamics in a narrow mosaic riparian peatland,Boral Environment Research,NA,NA,NA,Estonia,Tartu River subcatchment riparian peatland,fen,wetland,wetland,aboveground Cirsium oleraceum and Urtica dioica-dominated community,742,2.87,mean,none,table 2,4.16,0.619,mean,none,table 2,20.1,1.303,mean,none,table 2
"Kull et al., 2008","Kull, A., Jaagus, J., Kuusemets, V., & Mander, U.",2008,The effects of fluctuating climatic conditions and weather events on nutrient dynamics in a narrow mosaic riparian peatland,Boral Environment Research,NA,NA,NA,Estonia,Tartu River subcatchment riparian peatland,fen,wetland,wetland,aboveground sedge fen community,1369,3.136,mean,none,table 2,2.44,0.387,mean,none,table 2,24.4,1.387,mean,none,table 2
"Kull et al., 2008","Kull, A., Jaagus, J., Kuusemets, V., & Mander, U.",2008,The effects of fluctuating climatic conditions and weather events on nutrient dynamics in a narrow mosaic riparian peatland,Boral Environment Research,NA,NA,NA,Estonia,Tartu River subcatchment riparian peatland,fen,wetland,wetland,aboveground sedge fen community,2081,3.318,mean,none,table 2,3.2,0.505,mean,none,table 2,33.3,1.522,mean,none,table 2
"Kunii and Aramaki, 1992","Kunii, H., & Aramaki, M.",1992,Annual net production and life span of floating leaves in Nymphaea tetragona Georgi: a comparison with other floating-leaved macrophytes,Hydrobiologia,https://doi.org/10.1007/BF00019967,"Wetzel, 2010",NA,Japan,pond,pond,shallow_lake_and_pond,other_fw_benthic_system,Nymphaea tetragona,133,2.124,minimum,none,table 18-5,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kunii and Aramaki, 1992","Kunii, H., & Aramaki, M.",1992,Annual net production and life span of floating leaves in Nymphaea tetragona Georgi: a comparison with other floating-leaved macrophytes,Hydrobiologia,https://doi.org/10.1007/BF00019967,"Wetzel, 2010",NA,Japan,pond,pond,shallow_lake_and_pond,other_fw_benthic_system,Nymphaea tetragona,173.2,2.239,maximum,none,table 18-5,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kunii, 1988","Kunii, H.",1988,"Seasonal growth and biomass of Trapa japonica Flerov in Ojaga-ike Pond, Chiba, Japan",Ecological research,https://doi.org/10.1007/BF02348588,"Wetzel, 2010",NA,Japan,pond,pond,shallow_lake_and_pond,other_fw_benthic_system,Brasemia schreberi,52.5,1.72,minimum,none,table 18-5,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kunii, 1988","Kunii, H.",1988,"Seasonal growth and biomass of Trapa japonica Flerov in Ojaga-ike Pond, Chiba, Japan",Ecological research,https://doi.org/10.1007/BF02348588,"Wetzel, 2010",NA,Japan,pond,pond,shallow_lake_and_pond,other_fw_benthic_system,Brasemia schreberi,80.5,1.906,maximum,none,table 18-5,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Kvet, 1971","Kvet, J.",1971,Growth analysis approach to the production ecology of reedswamp plant communities,Hydrobiologia,NA,"Christensen et al., 2009",NA,NA,wetland,wetland,wetland,wetland,Phragmites ,1380,3.14,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
