publication_citation,publication_authors,publication_year,publication_title,publication_publisher,publication_doi,publication_with_reported_data,locality,country_continent,habitat_description,habitat_type,category,group,chla_ugl,log_chla_ugl,chla_ugl_value,chla_ugl_conversion,chla_ugl_location,water_tp_ugl,log_water_tp_ugl,water_tp_ugl_conversion,water_tp_ugl_location
"Buchaca et al., 2019","Buchaca, T., Kosten, S., Lacerot, G., Mazzeo, N., Kruk, C., Huszar, V. L., Lotter, A. F., & Jeppesen, E.",2019,Pigments in surface sediments of South American shallow lakes as an integrative proxy for primary producers and their drivers,Hydrobiologia,https://doi.org/10.1111/fwb.13317,NA,NA,South America,tropical lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,3.2,0.505,median,none,table 1,70,1.845,mg/l to ug/l,table 1
"Buchaca et al., 2019","Buchaca, T., Kosten, S., Lacerot, G., Mazzeo, N., Kruk, C., Huszar, V. L., Lotter, A. F., & Jeppesen, E.",2019,Pigments in surface sediments of South American shallow lakes as an integrative proxy for primary producers and their drivers,Hydrobiologia,https://doi.org/10.1111/fwb.13317,NA,NA,South America,tundra lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,4.3,0.633,median,none,table 1,70,1.845,mg/l to ug/l,table 1
"Buchaca et al., 2019","Buchaca, T., Kosten, S., Lacerot, G., Mazzeo, N., Kruk, C., Huszar, V. L., Lotter, A. F., & Jeppesen, E.",2019,Pigments in surface sediments of South American shallow lakes as an integrative proxy for primary producers and their drivers,Hydrobiologia,https://doi.org/10.1111/fwb.13317,NA,NA,South America,tropical lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,3.6,0.556,median,none,table 1,130,2.114,mg/l to ug/l,table 1
"Buchaca et al., 2019","Buchaca, T., Kosten, S., Lacerot, G., Mazzeo, N., Kruk, C., Huszar, V. L., Lotter, A. F., & Jeppesen, E.",2019,Pigments in surface sediments of South American shallow lakes as an integrative proxy for primary producers and their drivers,Hydrobiologia,https://doi.org/10.1111/fwb.13317,NA,NA,South America,maritime temperate lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,96,1.982,median,none,table 1,260,2.415,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,2.16,0.334,mean,none,table 1,220,2.342,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,5.04,0.702,mean,none,table 1,222,2.346,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,5.08,0.706,mean,none,table 1,222,2.346,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,6.45,0.81,mean,none,table 1,240,2.38,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,4.39,0.642,mean,none,table 1,261,2.417,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,4.22,0.625,mean,none,table 1,300,2.477,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,5.01,0.7,mean,none,table 1,319,2.504,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,4.37,0.64,mean,none,table 1,320,2.505,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,2.8,0.447,mean,none,table 1,321,2.507,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,5.77,0.761,mean,none,table 1,321,2.507,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,1.71,0.233,mean,none,table 1,322,2.508,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,3.98,0.6,mean,none,table 1,329,2.517,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,1.64,0.215,mean,none,table 1,331,2.52,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,2.17,0.336,mean,none,table 1,341,2.533,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,4.49,0.652,mean,none,table 1,419,2.622,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,4.2,0.623,mean,none,table 1,420,2.623,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,2.52,0.401,mean,none,table 1,440,2.643,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,3.93,0.594,mean,none,table 1,469,2.671,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,2.5,0.398,mean,none,table 1,519,2.715,mg/l to ug/l,table 1
"Cardoso et al., 2019","Cardoso, L. D. S., Faria, D. M. D., Crossetti, L. O., & da Motta Marques, D.",2019,"Phytoplankton, periphyton, and zooplankton patterns in the pelagic and littoral regions of a large subtropical shallow lake",Hydrobiologia,"https://doi.org/10.1007/s10750-018-3729-2(0123456789().,-volV)(0123456789().,-volV)",NA,Rio Grande Do Sul,Brazil,Lake Mangueira subtropical shallow oligomesotrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,2.8,0.447,mean,none,table 1,520,2.716,mg/l to ug/l,table 1
"Carrick et al., 2005","Carrick, H. J., Moon, J. B., & Gaylord, B. F.",2005,Phytoplankton Dynamics and Hypoxia in Lake Erie: A Hypothesis Concerning Benthic-pelagic Coupling in the Central Basin,Journal of Great Lakes Research,https://doi.org/10.1016/S0380-1330(05)70308-7,NA,Michigan,United States of America,Lake Erie eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,2.7,0.431,mean,none,table 1,6.5,0.813,none,table 1
"Carrick et al., 2005","Carrick, H. J., Moon, J. B., & Gaylord, B. F.",2005,Phytoplankton Dynamics and Hypoxia in Lake Erie: A Hypothesis Concerning Benthic-pelagic Coupling in the Central Basin,Journal of Great Lakes Research,https://doi.org/10.1016/S0380-1330(05)70308-7,NA,Michigan,United States of America,Lake Erie eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,3.5,0.544,mean,none,table 1,7.7,0.886,none,table 1
"Carrick et al., 2005","Carrick, H. J., Moon, J. B., & Gaylord, B. F.",2005,Phytoplankton Dynamics and Hypoxia in Lake Erie: A Hypothesis Concerning Benthic-pelagic Coupling in the Central Basin,Journal of Great Lakes Research,https://doi.org/10.1016/S0380-1330(05)70308-7,NA,Michigan,United States of America,Lake Erie eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,2,0.301,mean,none,table 1,7.8,0.892,none,table 1
"Carrick et al., 2005","Carrick, H. J., Moon, J. B., & Gaylord, B. F.",2005,Phytoplankton Dynamics and Hypoxia in Lake Erie: A Hypothesis Concerning Benthic-pelagic Coupling in the Central Basin,Journal of Great Lakes Research,https://doi.org/10.1016/S0380-1330(05)70308-7,NA,Michigan,United States of America,Lake Erie eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,2.8,0.447,mean,none,table 1,10.8,1.033,none,table 1
"Casartelli and Ferragut, 2017","Casartelli, M. R., & Ferragut, C.",2017,The effects of habitat complexity on periphyton biomass accumulation and taxonomic structure during colonization,Hydrobiologia,https://doi.org/10.1007/s10750-017-3396-8,NA,Sao Paulo,Brazil,Ninfeias Reservoir shallow mesotrophic,shallow_reservoir,shallow_lake_and_pond,other_fw_benthic_system,9.4,0.973,mean,none,table 1,10.8,1.033,none,table 1
"Casartelli and Ferragut, 2017","Casartelli, M. R., & Ferragut, C.",2017,The effects of habitat complexity on periphyton biomass accumulation and taxonomic structure during colonization,Hydrobiologia,https://doi.org/10.1007/s10750-017-3396-8,NA,Sao Paulo,Brazil,Ninfeias Reservoir shallow mesotrophic,shallow_reservoir,shallow_lake_and_pond,other_fw_benthic_system,15.8,1.199,mean,none,table 1,13.2,1.121,none,table 1
"Casartelli and Ferragut, 2017","Casartelli, M. R., & Ferragut, C.",2017,The effects of habitat complexity on periphyton biomass accumulation and taxonomic structure during colonization,Hydrobiologia,https://doi.org/10.1007/s10750-017-3396-8,NA,Sao Paulo,Brazil,Ninfeias Reservoir shallow mesotrophic,shallow_reservoir,shallow_lake_and_pond,other_fw_benthic_system,10.6,1.025,mean,none,table 1,14,1.146,none,table 1
"Casartelli and Ferragut, 2017","Casartelli, M. R., & Ferragut, C.",2017,The effects of habitat complexity on periphyton biomass accumulation and taxonomic structure during colonization,Hydrobiologia,https://doi.org/10.1007/s10750-017-3396-8,NA,Sao Paulo,Brazil,Ninfeias Reservoir shallow mesotrophic,shallow_reservoir,shallow_lake_and_pond,other_fw_benthic_system,6.5,0.813,mean,none,table 1,14.5,1.161,none,table 1
"Casartelli and Ferragut, 2017","Casartelli, M. R., & Ferragut, C.",2017,The effects of habitat complexity on periphyton biomass accumulation and taxonomic structure during colonization,Hydrobiologia,https://doi.org/10.1007/s10750-017-3396-8,NA,Sao Paulo,Brazil,Ninfeias Reservoir shallow mesotrophic,shallow_reservoir,shallow_lake_and_pond,other_fw_benthic_system,9.7,0.987,mean,none,table 1,15.1,1.179,none,table 1
"Casartelli and Ferragut, 2017","Casartelli, M. R., & Ferragut, C.",2017,The effects of habitat complexity on periphyton biomass accumulation and taxonomic structure during colonization,Hydrobiologia,https://doi.org/10.1007/s10750-017-3396-8,NA,Sao Paulo,Brazil,Ninfeias Reservoir shallow mesotrophic,shallow_reservoir,shallow_lake_and_pond,other_fw_benthic_system,2.4,0.38,mean,none,table 1,18.6,1.27,none,table 1
"Casartelli and Ferragut, 2017","Casartelli, M. R., & Ferragut, C.",2017,The effects of habitat complexity on periphyton biomass accumulation and taxonomic structure during colonization,Hydrobiologia,https://doi.org/10.1007/s10750-017-3396-8,NA,Sao Paulo,Brazil,Ninfeias Reservoir shallow mesotrophic,shallow_reservoir,shallow_lake_and_pond,other_fw_benthic_system,4.9,0.69,mean,none,table 1,21.7,1.336,none,table 1
"Casartelli and Ferragut, 2017","Casartelli, M. R., & Ferragut, C.",2017,The effects of habitat complexity on periphyton biomass accumulation and taxonomic structure during colonization,Hydrobiologia,https://doi.org/10.1007/s10750-017-3396-8,NA,Sao Paulo,Brazil,Ninfeias Reservoir shallow mesotrophic,shallow_reservoir,shallow_lake_and_pond,other_fw_benthic_system,10.5,1.021,mean,none,table 1,25.2,1.401,none,table 1
"Celewicz-Goldyn et al., 2010","Celewicz-Goldyn, S., Klimko, M., & Kuczynska-Kippen, N.",2010,Phycological investigations of pelagic vs. littoral zones of shallow lake ecosystems,Biologia,https:/doi.org/10.2478/s11756-010-0031-9,NA,NA,Poland,Lake Wielkowiejskie shallow mesoeutrophic ,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,41140,4.614,mean,mg/l to ug/l,table 2,190,2.279,mg/l to ug/l,table 2
